mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__learning_rate,param_classifier__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1331040382385254,0.040121511190376116,0.010045814514160156,0.0030861166682059423,1.152644954031562e-05,optimal,l1,"{'classifier__alpha': np.float64(1.152644954031562e-05), 'classifier__learning_rate': 'optimal', 'classifier__penalty': 'l1'}",0.9747189016451653,0.9662910709213143,0.9634828579319052,0.9634759413152764,0.9634805526841163,0.9662898648995555,0.004352892167094057,20
0.15933918952941895,0.0453090747201644,0.011195087432861328,0.005775212001599615,7.459343285726558e-05,optimal,elasticnet,"{'classifier__alpha': np.float64(7.459343285726558e-05), 'classifier__learning_rate': 'optimal', 'classifier__penalty': 'elasticnet'}",0.9578648360752752,0.9691008797885351,0.9662910709213143,0.9690989291942522,0.9690989291942522,0.9662909290347258,0.0043511974354669206,19
0.03161687850952148,0.007940391567225768,0.008638095855712891,0.0048117782688763345,0.055517216852447225,constant,l2,"{'classifier__alpha': np.float64(0.055517216852447225), 'classifier__learning_rate': 'constant', 'classifier__penalty': 'l2'}",0.9747173057043881,0.9606542882404953,0.9634805526841163,0.9747141132182683,0.9662878787878788,0.9679708277270294,0.005788151716500676,18
0.09115757942199706,0.03945389632125095,0.006357431411743164,0.0024551224465346575,1.9517224641449486e-06,optimal,elasticnet,"{'classifier__alpha': np.float64(1.9517224641449486e-06), 'classifier__learning_rate': 'optimal', 'classifier__penalty': 'elasticnet'}",0.9775273806142096,0.9662910709213143,0.971909225767762,0.9662878787878788,0.9578621761739804,0.967975546453029,0.006552515656752572,17
0.03451924324035645,0.016155731458381884,0.014577436447143554,0.007296107922396899,0.035204810455260416,constant,l2,"{'classifier__alpha': np.float64(0.035204810455260416), 'classifier__learning_rate': 'constant', 'classifier__penalty': 'l2'}",0.9831455354606571,0.963469022078035,0.9662910709213143,0.9775252525252526,0.9634805526841163,0.970782286733875,0.008065825268113953,16
0.3194894790649414,0.07689784134400555,0.011666584014892577,0.0011590438382003663,0.004570563099801453,optimal,l1,"{'classifier__alpha': np.float64(0.004570563099801453), 'classifier__learning_rate': 'optimal', 'classifier__penalty': 'l1'}",0.9747189016451653,0.971909225767762,0.9691008797885351,0.9690891725275679,0.9719101123595506,0.971345658417716,0.0021045543921926913,15
0.07576818466186523,0.02627283276455714,0.011435365676879883,0.0024487867481400106,8.454394570685005e-05,constant,l1,"{'classifier__alpha': np.float64(8.454394570685005e-05), 'classifier__learning_rate': 'constant', 'classifier__penalty': 'l1'}",0.98595405872466,0.9662878787878788,0.9662921348314607,0.9690989291942522,0.9775280898876404,0.9730322182851783,0.007662537766301188,11
0.04609694480895996,0.008786661930889776,0.00767369270324707,0.004051934444248405,1.2674255898937221e-06,constant,l2,"{'classifier__alpha': np.float64(1.2674255898937221e-06), 'classifier__learning_rate': 'constant', 'classifier__penalty': 'l2'}",0.98595405872466,0.9662878787878788,0.9662921348314607,0.9690989291942522,0.9775280898876404,0.9730322182851783,0.007662537766301188,11
0.0624269962310791,0.012132150105911484,0.010399103164672852,0.00230705460817932,3.320559103751961e-05,constant,l1,"{'classifier__alpha': np.float64(3.320559103751961e-05), 'classifier__learning_rate': 'constant', 'classifier__penalty': 'l1'}",0.98595405872466,0.9662878787878788,0.9662921348314607,0.9690989291942522,0.9775280898876404,0.9730322182851783,0.007662537766301188,11
0.05425214767456055,0.008119613649027762,0.013808965682983398,0.003922786859801127,0.0001335916680165183,constant,l2,"{'classifier__alpha': np.float64(0.0001335916680165183), 'classifier__learning_rate': 'constant', 'classifier__penalty': 'l2'}",0.98595405872466,0.9662878787878788,0.9662921348314607,0.9690989291942522,0.9775280898876404,0.9730322182851783,0.007662537766301188,11
