mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
26.94871759414673,2.0124352410244684,0.2684345722198486,0.07961696175229586,10,4,10,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_depth': 10}",0.9477654915046698,0.944348754370719,0.9468850402326402,0.9453782820978593,0.9452850841218053,0.9459325304655388,0.0012248874043770514,20
27.284278202056885,1.9845608612223131,0.29628586769104004,0.04372781167254157,10,2,10,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 10}",0.947781340651535,0.9443485567303963,0.9468928388997553,0.9453626767845241,0.9453789347493838,0.9459528695631189,0.0012229797403514905,19
29.059933757781984,1.4975103740537858,0.29122610092163087,0.07692985835042365,5,2,10,"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 10}",0.9477891811256759,0.9443956646648712,0.9468773231182601,0.945433011444946,0.9454257615689329,0.9459841883845371,0.0011995609682888338,18
28.04864740371704,1.8294849493734284,0.2710835933685303,0.049541749833068124,2,1,10,"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': 10}",0.9478826374126552,0.944426661693424,0.9469084362322215,0.9454718580674581,0.9453789839980311,0.9460137154807582,0.0012254491132666137,17
18.51857771873474,0.9339626009554243,0.07197775840759277,0.009694881012017983,5,1,10,"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': 10}",0.9478591997851626,0.9444814894503631,0.946955432260304,0.945409437166959,0.9453944779699469,0.946020007326547,0.0012156289612877782,16
57.12199425697327,3.187694419637651,0.1987295150756836,0.05238602742167445,10,1,,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': None}",0.9614474055493485,0.9612160804719068,0.9619477014926696,0.9620022927707382,0.960444368234177,0.9614115697037681,0.0005676918120428921,15
56.135236501693726,5.496431779571356,0.31876416206359864,0.053434263572867215,2,2,,"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': None}",0.9618398992416946,0.9612486697995459,0.961369227727818,0.9620088653866449,0.9612148360252059,0.9615362996361819,0.00032541478382133515,14
56.548950624465945,3.577490324073323,0.2809908866882324,0.04068003975924909,5,2,,"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': None}",0.9617455680386738,0.9612876822991272,0.9620741373419653,0.9616407016367491,0.9611363611147473,0.9615768900862525,0.0003339119398263894,13
53.24491000175476,7.003859446357429,0.2791282176971436,0.05252766390727287,5,4,,"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_depth': None}",0.961951012212774,0.9614378739059579,0.9618014790608128,0.9614227847923189,0.9616366783212107,0.9616499656586148,0.000205112627455291,12
56.9906325340271,2.039398206797122,0.3018683910369873,0.06414337860507642,10,4,,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_depth': None}",0.9618489369367446,0.9613045538553721,0.9619960078737315,0.9620405822872752,0.9617686797344669,0.9617917521375181,0.00026260291406433395,11
