mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,param_classifier__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0772897720336914,0.020926913678098315,0.04496068954467773,0.002539175147235081,200,2,1,log2,30,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'log2', 'classifier__max_depth': 30, 'classifier__class_weight': None}",0.787178087955871,0.7679025578722921,0.7522215949397506,0.7986222909962163,0.7894542550260872,0.7790757573580436,0.016741650923172126,20
1.577052402496338,0.03132954279735984,0.05967316627502441,0.0005293937657231122,300,5,1,log2,,balanced,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'log2', 'classifier__max_depth': None, 'classifier__class_weight': 'balanced'}",0.7999789589963441,0.7768291720382013,0.7587824633666492,0.8051077036374634,0.7894716026494111,0.7860339801376138,0.01671801585426894,19
0.5808648586273193,0.007054246529320699,0.030753707885742186,0.0020752564699087895,200,10,2,log2,10,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': 10, 'classifier__class_weight': None}",0.7960328202631739,0.7740246913580247,0.7678384373905421,0.7948717948717948,0.7983578823476609,0.7862251252462393,0.012689211554736905,18
0.30380730628967284,0.04301260077251472,0.013986158370971679,0.0007489213636230626,50,5,1,log2,20,,"{'classifier__n_estimators': 50, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'log2', 'classifier__max_depth': 20, 'classifier__class_weight': None}",0.7986434825502527,0.7857703206537738,0.7512411638993918,0.802558910162003,0.7946077954789933,0.7865643345488829,0.01851910565883635,17
0.4460771083831787,0.003593832309447788,0.01998105049133301,0.0011730092288560199,100,5,4,log2,,balanced,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': None, 'classifier__class_weight': 'balanced'}",0.794762496793164,0.779202654307984,0.7691761363636364,0.7987149711287642,0.7945841000127701,0.7872880717212636,0.011252459875075217,16
0.2738486289978027,0.004394347246816345,0.012374401092529297,0.0004583312529268392,50,10,2,sqrt,,,"{'classifier__n_estimators': 50, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None, 'classifier__class_weight': None}",0.7999947401641069,0.7780121111222611,0.7653379452520965,0.8064023012122457,0.7920164012629297,0.788352699802728,0.014908753297927584,15
0.47190418243408205,0.014066856263429628,0.021908140182495116,0.005287431801025628,100,5,4,sqrt,10,balanced,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 10, 'classifier__class_weight': 'balanced'}",0.797370619068602,0.7766352433115653,0.7691928324839719,0.8089665091432094,0.7907380700668449,0.7885806548148387,0.01425539532643955,14
1.0587875366210937,0.02379110902210571,0.0388300895690918,0.0018448081498050354,200,5,4,sqrt,,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None, 'classifier__class_weight': None}",0.8024809913441554,0.780422396322923,0.771740845959596,0.7974358974358975,0.7919876036243341,0.7888135469373813,0.011252618609860616,13
0.28751211166381835,0.021868376805818157,0.011630964279174805,0.00015847734424237172,50,10,2,sqrt,20,,"{'classifier__n_estimators': 50, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 20, 'classifier__class_weight': None}",0.7948502143552247,0.7804657654647532,0.7588728985240337,0.8115356736046392,0.7984595635430038,0.7888368230983309,0.017954983732549654,12
1.0496052742004394,0.04467287413676609,0.028663110733032227,0.004689016767028865,300,5,2,log2,10,balanced,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': 10, 'classifier__class_weight': 'balanced'}",0.8050000000000002,0.7778981135988439,0.7653533754493943,0.8025628044891814,0.7958309349118968,0.7893290456898633,0.015287149612362208,11
0.4894679546356201,0.0052540707535783495,0.02143750190734863,0.0011299071120207604,100,2,2,log2,,balanced,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': None, 'classifier__class_weight': 'balanced'}",0.794762496793164,0.7805062278765977,0.7679025578722921,0.8089589726983272,0.7946017029175863,0.7893463916315936,0.013997087764565659,10
0.4322191715240479,0.03391002434055776,0.012930202484130859,0.0006618352786694247,100,10,1,sqrt,30,balanced,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30, 'classifier__class_weight': 'balanced'}",0.8012085337279566,0.7883359455561239,0.7589172979797981,0.8038432521191141,0.795885442374124,0.7896380943514233,0.01624902368193068,9
