id,value,description
146,8022,MaccaroniC2 default port
147,8040,ConnectWise Control
148,8041,ConnectWise Control
149,8080,AlanFramework C2 default port + Browser-C2 + KittyStager + Ares C2 + malwares and rat observed with this port but used by many many legitimate services but still worth hunting for
150,8081,AlanFramework C2 + mip22 + Browser-C2 default port example but also lots of legitimate services
151,8111,EvilNoVNC default port
152,8118,Privproxy (and used by cursedChrome addon for viewing victim Chrome instances)
153,8200,GoToMyPC and gotomeeting
154,8384,Syncthing Web GUI or marathontp
155,8443,AlanFramework C2 default port but also many other legitimate services
156,8531,TEMP.Veles used port-protocol mismatches on ports such as 443 - 4444 - 8531 and 50501 during C2
157,8848,DcRat
158,8888,POSHC2 default port but also legit usages
159,8936,MoonPeak malware https://thecyberexpress.com/north-korean-hackers-new-moonpeak-uat-5394/
160,8999,PrimusC2
161,9001,default port used by the Tor network
162,9050,default port used by the Tor network for its SOCKS proxy also used by MaccaroniC2 proxy
163,9051,default port used by the Tor network for the controller
164,9090,impacket and other legit usages
165,9200,default port used by the Tor network
166,9235,TacticalRMM RMM tool default port
167,9631,hardhatC2 default port and other legit usages
168,9931,SoftEtherVPN default port
169,9936,MoonPeak malware https://thecyberexpress.com/north-korean-hackers-new-moonpeak-uat-5394/
170,9966,MoonPeak malware https://thecyberexpress.com/north-korean-hackers-new-moonpeak-uat-5394/
171,9984,SoftEtherVPN default port
172,9988,Rbot-GR trojan and other legit usages
173,9999,rpivot + DarkComet + netcat listener default port examples but also legit usages
174,10002,multiple malwares
175,10110,Proxot malware
176,10426,Backdoor.Win32.Agent.cu
177,10666,ambush trojan
178,12122,Backdoor.Hellza server listening on this port
179,12345,netbus trojan and other malwares
180,12346,netbus trojan and other malwares
181,13333,Xmrig coinminer https://github.com/C3Pool/xmrig_setup/blob/82c4e9bf7ee3c0c9cd925ede6e46e9ed4cc5f195/setup_c3pool_miner.bat
182,15000,LogmeIn default port usage
183,15555,Xmrig coinminer https://github.com/C3Pool/xmrig_setup/blob/82c4e9bf7ee3c0c9cd925ede6e46e9ed4cc5f195/setup_c3pool_miner.bat
184,16990,MeshCentral default port https://github.com/Ylianst/MeshAgent/blob/17a37ea4a698a84b21cab6a85bdb9d736b929d57/meshcore/meshdefines.h
185,16991,MeshCentral default port https://github.com/Ylianst/MeshAgent/blob/17a37ea4a698a84b21cab6a85bdb9d736b929d57/meshcore/meshdefines.h
186,16992,MeshCentral default port https://github.com/Ylianst/MeshAgent/blob/17a37ea4a698a84b21cab6a85bdb9d736b929d57/modules/CSP.js
187,16993,MeshCentral default port https://github.com/Ylianst/MeshAgent/blob/17a37ea4a698a84b21cab6a85bdb9d736b929d57/modules/amt-lme.js
188,17300,Kuang2 trojan
189,19999,Xmrig coinminer https://github.com/C3Pool/xmrig_setup/blob/82c4e9bf7ee3c0c9cd925ede6e46e9ed4cc5f195/setup_c3pool_miner.bat
190,20034,netbus trojan and other malwares
191,20778,chat room with ComodoRMM (Itarian RMM) - itarian\endpoint manager\rhost.exe
192,21115,RustDesk RMM
193,21116,RustDesk RMM
194,21802,hardhatC2 default port
195,22000,Shadowpad default port (backdoor used for espionage and large-scale cyberattacks) but also legitimate uses like 	Gamespy Lan Port - Battlefield Vietnam - Medal of Honor - Syncthing - SoftPAC - SNAPenetIO
196,22001,Shadowpad default port (backdoor used for espionage and large-scale cyberattacks) but also legitimate use for OptoControl
197,22543,Action1 RMM tools outbound connection tcp
198,25405,Netsupport - connection attempts from a Control machine
199,27374,SubSeven backdoor and multiple other malwares
200,30662,o365-attack-toolkit default port
201,31335,Trinoo distributed attack tool port
202,31337,SliverC2 + ThunderShell default port + Back Orifice backdoor. also associated with various other types of exploits or shellcode
203,31338,Back Orifice backdoor and other malwares
204,31785,Hack’a’Tack RAT
205,31789,Hack’a’Tack RAT
206,32226,ComodoRMM remote ports used by rmmservice.exe
207,32227,ComodoRMM remote ports used by rmmservice.exe
208,32233,ComodoRMM remote ports used by rmmservice.exe
209,32234,ComodoRMM remote ports used by rmmservice.exe
210,35000,evilqr
211,3567,blackvision RAT
212,48101,W32.Blastclan.Worm
213,50001,Anydesk outbound connections
214,50002,Anydesk outbound connections
215,50003,Anydesk outbound connections
216,50050,sharpc2 and cobaltstrike default port
217,50501,TEMP.Veles used port-protocol mismatches on ports such as 443 - 4444 - 8531 and 50501 during C2
218,51820,Wireguard VPN default listening port
219,52935,C3 webcontroller default port
220,53531,dnscat2 default port
221,54320,Back Orifice backdoor
222,55553,Metasploit RPC daemon default port also used by Armitage team server
223,57230,covenant C2 default port
224,59074,RustDesk RMM
225,59076,RustDesk RMM
226,61466,Backdoor:Win32/Thething.F and telecommando trojan
227,65000,Devil RAT
